Collection;Source;Description-projet;tilte;Linked in item;Publisher;Creator;Contributor;Format;Type;Langage;Description0;Date;Coverage;Coverage2;Subject;Description;Description3;Œuvres citées - références;Lieux cités;Description6;Rights;License
Archives de Jean Duvignaud (1921-2007);BLJD - Fonds Arland, Marcel - ARL C;;Titre;Fichiers associés;ESNA;Scripteur-s;Autres scripteurs;Medium / support;Nature;Langue d'écriture;Destinataire;Date;Spaciale;Temporelle;Mots-clés;Résumé;Personnes citées ou mentionnées;http://purl.org/dc/terms/references;Lieux mentionnés ou cités;Institutions, médias, entreprises cités ou mentionnés;Droits afférants;
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;7 juillet 1948;ARL1;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier sans filigrane | 2 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1948-07-07;France;1948-1983;N.R.F. (1919-) | Critique dramatique | Carrière littéraire;Jean Duvignaud remercie Arland, Marcel d'avoir bien voulu relire et donner son avis sur un texte intitulé 'Intérêt général', et de lui accorder une chronique à la N.R.F. (1919-) pour laquelle il prépare un article.;Personnes citées : Arland, Janine;;Bretagne | 15 rue Berthollet - Paris (France) Ve;N.R.F. (1919-);Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;27 novembre 1948;ARL2;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier avec filigrane | 1 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1948-11-27;France;1948-1983;Critique littéraire;Jean Duvignaud donne son avis à Arland, Marcel sur les volumes des 'Nouvelles littéraires' qu'il lui a donnés à évaluer en vue d'un prix.;Personnes citées : Arland, Janine;;;;Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;11 novembre 1949;ARL3;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier sans filigrane | 1 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1949-11-11;France;1948-1983;Relecture de texte;Jean Duvignaud remercie Arland, Marcel d'avoir bien voulu relire et donner son avis sur son texte 'Quand le soleil se tait'.;;Jean Duvignaud, Quand le soleil se tait, Gallimard, 1949;Brinville | 15 rue Berthollet - Paris (France) Ve;;Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;12 janvier 1950;ARL4;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier sans filigrane | 1 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1950-01-12;France;1948-1983;Edition | Carrière littéraire;Jean Duvignaud souhaite faire publier son texte 'Les générations anonymes' chez Gallimard.;Personnes citées : 'Roland Gallimard' | Gallimard, Gaston (1881-1975);;;;Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;21 mars 1953;ARL5;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier sans filigrane | 2 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1953-03-21;France;1948-1983;Edition | Carrière littéraire | Critique dramatique | N.R.F. (1919-);Jean Duvignaud s'étonne du délai de réponse de Gaston Gallimard pour la publication du Piège. Il renseigne M. Arland sur ses projets de chronique de théâtre.;Personnes citées : Gallimard, Gaston (1881-1975);"Jean Duvignaud, Le piège, Gallimard, 1954 |
Vilar, Jean, La mort de Danton de G, Buchner, Palais de Chaillot, 1953 |
Jean Mercure, Sud de Julien Green, Théâtre de l'Athénée, 1953"; ;Editions  Gallimard;Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;12 mai 1969;ARL6;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier à en-tête | 2 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1969-05-12;France;1948-1983;Carrière universitaire | Critique littéraire;Jean Duvignaud donne des nouvelles à M. Arland de son texte sur Cioran et sur son travail comme professeur à Nanterre.;Personnes citées : Cioran, Emil (1911-1995);;;Université de Paris - Nanterre;Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;13 juillet 1953;ARL7;Projet ESR - ESNA;Jean Duvignaud (1921-2007);Malraux, Clara (1897-1982);Support : Papier sans filigrane | 2 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1953-07-13;France;1948-1983;Carrière littéraire;Jean Duvignaud et Clara Malraux sont aux rencontres littéraires du Centre culturel international de Carisy-la-Salle;Personnes citées : Barbey d'Aurevilly, Jules (1808-1889) | Calet, Henri (1904-1956) | Nourrissier, François (1927-2011) | Berthe, Louis (1927-1968) | Ponge, Françis (1899-1988);;Château de Cerisy-La-Salle;;Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;12 aout 1953;ARL8;Projet ESR - ESNA;Jean Duvignaud (1921-2007);Malraux, Clara (1897-1982);Support : Carte postale | 1 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1953-08-12;France | Italie (Vatican);1948-1983;;;Personnes citées : Mauriac, François (1885-1970);;;N.R.F. (1919-);Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;13 septembre 1953;ARL9;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier sans filigrane | 3 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1953-09-13;France;1948-1983;Edition | Carrière littéraire | N.R.F. (1919-);Il est question des épreuves du Piège de Jean Duvignaud, du numéro de la N.R.F. de septembre 1953, de Drieu La Rochelle et d'un jeune et pauvre écrivain que J. Duvignaud recommande à M. Arland.;Personnes citées : Droguet, Robert (1925-2011);Jean Duvignaud, Le piège, Gallimard, 1954;La Rochelle (France);N.R.F. (1919-);Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
