Titre;Auteur;Infos biblios;Créateur / Éditeur;Sujet;Collection;Édition;Langue;ISBN;ISBN (13);ISSN
L'Islam et les fondements du pouvoir  ;Abderraziq , Ali ;"L'Islam et les fondements du pouvoir [Texte imprimé] / Ali Abderraziq ; nouvelle traduction et introduction de Abdou Filali-Ansary";Abderraziq , Ali (Casablanca : Éd. Le Fennec, D.L.1994);Islam et État   Califat   Histoire  et autres;;;Français;9981-838-13-6 ;9789981838130 ;
Vers un nouveau prophétisme : essai sur le rôle politique du sacré et la situation de Lucifer dans le monde moderne ;Abellio , Raymond ;Vers un nouveau prophétisme : essai sur le rôle politique du sacré et la situation de Lucifer dans le monde moderne / Raymond Abellio;"Abellio , Raymond (Bruxelles ; Paris : La Diffusion du livre : Éd. du Cheval ailé ; C 1947)";Sacré   Prophétie   Religion et politique  et autres;;;Français;;;
Rencontres autour de Pierre Fougeyrollas ;Abensour , Miguel ;"Rencontres autour de Pierre Fougeyrollas / contributions de Miguel Abensour, Michel Allard, Pierre Ansart... [et al.] ; textes réunis et présentés par Pierre Ansart";"Abensour , Miguel (Paris : Editions l'Harmattan, cop. 1993 ;  70-Héricourt :  Impr. du Paquis)";Fougeyrollas, Pierre   Marxisme   Social history  et autres;;;Français;2-7384-2048-6 ;9782738420480 ;
Le théâtre et le Prince  : 1981-1991 ;Abirached , Robert ;Le théâtre et le Prince [Texte imprimé] : 1981-1991 / Robert Abirached;"Abirached , Robert (Paris : Plon, cop.1992 ;  18-Saint-Amand-Montrond :  Impr. SEPC)";Politique culturelle   Théâtre et État   France  et autres;;;Français;2-259-02185-9 ;9782259021852 ;
La crise du personnage dans le théâtre moderne ;Abirached , Robert ;La crise du personnage dans le théâtre moderne / Robert Abirached;Abirached , Robert ([Paris] : Gallimard, DL 1994);Théâtre (genre littéraire)   Représentation (esthétique)   Personnages de théâtre ;"Collection Tel ; 245";;Français;978-2-07-073745-1  et autres;978-2-07-073745-1  et autres;
La Crise du personnage dans le théâtre moderne  ;Abirached , Robert ;La Crise du personnage dans le théâtre moderne [Texte imprimé] / Robert Abirached;"Abirached , Robert (Paris : B. Grasset, 1978 ;  Paris :  Presses du Palais Royal)";Personnages -- Au théâtre -- 18e siècle -- 19e siècle -- 20e siècle   Personnages littéraires   Théâtre -- Production et mise en scène -- 20e siècle  et autres;;;Français;2-246-00667-8 ;9782246006671 ;
Développement de la libido  : formation du caractère : études cliniques ;Abraham , Karl ;"Développement de la libido [Texte imprimé] : formation du caractère : études cliniques / Karl Abraham, ... ; traduit de l'allemand par Ilse Barande avec la collaboration de Elisabeth Grin";Abraham , Karl (Paris : Payot, impr. 1973);Libido   Caractère ;Bibliothèque scientifique. Science de l'homme;;Français;;;
Oeuvres complètes  . 1 . Rêve et mythe : G. Segantini-Amenhotep IV ;Abraham , Karl ;"Oeuvres complètes [Texte imprimé] . 1 . Rêve et mythe : G. Segantini-Amenhotep IV / Karl Abraham ; introd. de Ilse Barande";Abraham , Karl (Paris : Payot, impr.1973);Rêves   Interprétation psychanalytique   Mythe  et autres;Bibliothèque scientifique. Science de l'homme;;Français;;;
Musiques sur le fleuve : les plus belles pages du Kitâb al-Aghâni ;Ab? al-Fara? al-I?bah?n? , ?Al? ibn al-?usayn ;Musiques sur le fleuve : les plus belles pages du Kitâb al-Aghâni / [choisies et présentées par] Jacques Berque;"Ab? al-Fara? al-I?bah?n? , ?Al? ibn al-?usayn (Paris : A. Michel, impr. 1995 ;  18-Saint-Amand-Montrond :  Impr. Bussière)";Ab? al-Fara? al-I?bah?n?, ?Al? ibn al-?usayn (0897-0967) -- Kit?b al-A??n?   Littérature arabe -- 750-1258   Poésie arabe  et autres;;;Français;2-226-07960-2 ;9782226079602 ;
Adolf Hitler  : essai de biographie psycho-pathologique ;Achille-Delmas , François ;Adolf Hitler [Texte imprimé] : essai de biographie psycho-pathologique / François Achille-Delmas;Achille-Delmas , François (Paris : M. Rivière et cie, 1946);Hitler, Adolf   Biographies -- 1889-1945 ;Études de psychologie appliquée;;Français;;;
