Centre d'archives;Scripteur;Scripteur - complet;Destinataire;Fonction du scripteur;Spécialité;Spécialité - généraliste;Nombre de lettres;Date A;Date B;Format;Sujet(s);Œuvres citées;Personnes citées;Contexte relationnel;Cote Archives;Identifiant personnel;Notes archiviste;Papier à en-tête;Revue;Lieu
Archives municipales de La Rochelle;(?);;;;;Inconnu;1;1968;;;Chebika;;;;10Z 1 (3);;;;;
Archives municipales de La Rochelle;(?);;;;;Inconnu;1;1991;;;Réédition de Chebika;;;;10Z 1 (3);;;;;
Archives municipales de La Rochelle;(?);;;;;Inconnu;1;1991;;;Réédition de Chebika;;;;10Z 1 (3);;;;;
Archives municipales de La Rochelle;(?);;;;Sociologue;Sociologie - anthropologie;1;1977;;;Sujets d'étude de l'auteur en Tunisie;;;;10Z 65 (4);;;;;
Archives municipales de La Rochelle;?;;;NRF;Directeur de revue;Edition;1;19…;;;Confirmation de RDV;;;;;;;NRF;NRF;5 rue Sébastien Bottin, Paris 07
Domicile;[?];;;;Inconnu;Inconnu;1;1998;;;"Remerciement pour le ""Pandémonium""";J. Duvignaud, Le Pandémonium du présent, idées sages, idées folles. Terre Humaine, Plon, 1998;;;;;Signature illisible;;;
IMEC;A. Davin;;;A la DGRST;Administratif universitaire;Administration  - gestion;2;1975;;;;;;;DVG2.C02;;Dans une chemise orange intitulée ‘‘DGRST’‘;;;
IMEC;A. F. (?);;;;Inconnu;Inconnu;1;1945;;;;;;;DVG2.C03;;;;;
IMEC;A. Humbert;;;Probable André Humbert, géographe ;Géographe;Géographie;1;1947;;;;;;;DVG2.C04;;PJ : Fragment d'une lettre dont l'auteur n'a pas été identifié;;;
IMEC;A. J. Meyer;;;Economiste;Economiste;Economie;2;1964;;;;;;;DVG2.C05;;;Harvard University;;
IMEC;A. Lindenberg;;;;Inconnu;Inconnu;1;1959;;;;;;;DVG2.C05;;;;;
IMEC;A. Loisy;;;Peut-être André Loisy, ancien dirigeant local du PCF ?;Politicien-ne;Politique;1;1949;;;;;;;DVG2.C05;;;;;
IMEC;A. Memmi (probable Albert Memmi);;;Philosophe, écrivain franco-tunisien;Ecrivain-philosophe;Philosophie;2;1956;;;;;;;DVG2.C05;;;;;
IMEC;A. Natsimamemgez (?);;;;Inconnu;Inconnu;1;1957;;;;;;;DVG2.C06;;;;;
IMEC;A. Silbermann;;;;Inconnu;Inconnu;1;1976;;;;;;;DVG2.C07;;;Forschungsinstitut Für Soziologie Der Universität Köln;;
IMEC;A. Voguet;;;Probable André Voguet, instituteur, résistant et militant communiste;Politicien-ne;Politique;3;1948;1949;;;;;;DVG2.C07;;;Conseil Municipal de Paris;;
IMEC;A. W. de Passopien (?);;;;Inconnu;Inconnu;1;1981;;;;;;;DVG2.C06;;Dans le dossier Scarabée International;;Scarabée International;
